Date,Value
2018-02-28,55.41
2018-01-31,52.31
2017-12-31,51.71
2017-11-30,51.05
2017-10-31,50.38
2017-09-30,47.59
2017-08-31,47.45
2017-07-31,46.7
2017-06-30,48.78
2017-05-31,50.44
2017-04-30,53.07
2017-03-31,60.96
2017-02-28,58.02
2017-01-31,56.95
2016-12-31,58.18
2016-11-30,61.04
2016-10-31,62.4
2016-09-30,63.42
2016-08-31,65.64
2016-07-31,63.77
2016-06-30,63.91
2016-05-31,56.3
2016-04-30,52.1
2016-03-31,52.06
2016-02-29,54.43
2016-01-31,52.21
2015-12-31,48.9
2015-11-30,33.41
2015-10-31,31.13
2015-09-30,28.61
2015-08-31,28.59
2015-07-31,29.99
2015-06-30,31.39
2015-05-31,34.76
2015-04-30,40.75
2015-03-31,49.2
2015-02-28,51.85
2015-01-31,54.79
2014-12-31,58.72
2014-11-30,60.16
2014-10-31,58.82
2014-09-30,61.59
2014-08-31,61.13
2014-07-31,61.95
2014-06-30,61.86
2014-05-31,60.75
2014-04-30,57.65
2014-03-31,50.49
2014-02-28,48.04
2014-01-31,46.54
2013-12-31,45.0
2013-11-30,43.92
2013-10-31,44.93
2013-09-30,41.89
2013-08-31,46.49
2013-07-31,46.05
2013-06-30,45.68
2013-05-31,43.98
2013-04-30,40.79
2013-03-31,41.92
2013-02-28,41.0
2013-01-31,39.39
2012-12-31,38.41
2012-11-30,37.38
2012-10-31,34.67
2012-09-30,30.87
2012-08-31,23.88
2012-07-31,21.23
2012-06-30,17.77
2012-05-31,16.38
2012-04-30,15.91
2012-03-31,16.42
2012-02-29,18.1
2012-01-31,18.91
2011-12-31,18.59
2011-11-30,19.0
2011-10-31,19.93
2011-09-30,20.21
2011-08-31,21.62
2011-07-31,20.19
2011-06-30,21.08
2011-05-31,22.95
2011-04-30,25.3
2011-03-31,23.88
2011-02-28,19.71
2011-01-31,18.54
2010-12-31,17.94
2010-11-30,19.97
2010-10-31,19.56
2010-09-30,19.8
2010-08-31,20.74
2010-07-31,23.16
2010-06-30,26.56
2010-05-31,30.9
2010-04-30,33.49
2010-03-31,34.6
2010-02-28,35.38
2010-01-31,38.38
2009-12-31,44.29
2009-11-30,39.77
2009-10-31,38.7
2009-09-30,36.58
2009-08-31,34.7
2009-07-31,33.7
2009-06-30,30.87
2009-05-31,26.26
2009-04-30,20.79
2009-03-31,19.94
2009-02-28,17.57
2009-01-31,15.15
2008-12-31,8.03
2008-11-30,9.0
2008-10-31,9.41
2008-09-30,10.92
2008-08-31,12.76
2008-07-31,16.33
2008-06-30,22.21
2008-05-31,24.5
2008-04-30,26.36
2008-03-31,28.56
2008-02-29,30.49
2008-01-31,30.13
2007-12-31,30.68
2007-11-30,30.46
2007-10-31,32.26
2007-09-30,32.74
2007-08-31,31.33
2007-07-31,30.24
2007-06-30,27.71
2007-05-31,28.23
2007-04-30,29.66
2007-03-31,31.42
2007-02-28,33.9
2007-01-31,37.39
2006-12-31,43.06
2006-11-30,48.7
2006-10-31,56.14
2006-09-30,64.63
2006-08-31,71.78
2006-07-31,79.24
2006-06-30,85.06
2006-05-31,88.08
2006-04-30,90.67
2006-03-31,92.36
2006-02-28,94.54
2006-01-31,95.63
2005-12-31,96.52
2005-11-30,96.75
2005-10-31,96.74
2005-09-30,97.05
2005-08-31,96.88
2005-07-31,94.96
2005-06-30,95.55
2005-05-31,94.56
2005-04-30,93.73
2005-03-31,93.11
2005-02-28,93.34
2005-01-31,93.29
2004-12-31,91.77
2004-11-30,89.96
2004-10-31,89.04
2004-09-30,91.52
2004-08-31,90.34
2004-07-31,89.14
2004-06-30,86.93
2004-05-31,84.91
2004-04-30,90.94
2004-03-31,81.54
2004-02-29,82.84
2004-01-31,82.59
2003-12-31,84.15
2003-11-30,81.96
2003-10-31,80.55
2003-09-30,79.55
2003-08-31,75.71
2003-07-31,86.81
2003-06-30,89.8
2003-05-31,86.92
2003-04-30,80.8
2003-03-31,84.84
2003-02-28,75.29
2003-01-31,73.21
2002-12-31,74.27
2002-11-30,71.41
2002-10-31,75.58
2002-09-30,65.83
2002-08-31,76.62
2002-07-31,51.63
2002-06-30,56.31
2002-05-31,60.24
2002-04-30,58.4
2002-03-31,46.82
2002-02-28,55.74
2002-01-31,60.53
2001-12-31,56.74
2001-11-30,67.18
2001-10-31,71.5
2001-09-30,55.09
2001-08-31,66.6
2001-07-31,68.43
2001-06-30,70.93
2001-05-31,62.03
2001-04-30,57.92
2001-03-31,64.23
2001-02-28,51.05
2001-01-31,46.46
2000-12-31,43.25
2000-11-30,41.73
2000-10-31,40.0
2000-09-30,51.32
2000-08-31,46.15
2000-07-31,42.83
2000-06-30,41.39
2000-05-31,41.66
2000-04-30,45.46
2000-03-31,48.49
2000-02-29,61.24
2000-01-31,47.03
1999-12-31,57.94
1999-11-30,41.78
1999-10-31,46.28
1999-09-30,42.83
1999-08-31,54.25
1999-07-31,52.34
1999-06-30,54.08
1999-05-31,37.05
1999-04-30,51.84
1999-03-31,64.77
1999-02-28,45.84
1999-01-31,36.92
1998-12-31,34.34
1998-11-30,59.31
1998-10-31,56.21
1998-09-30,76.19
1998-08-31,48.99
1998-07-31,71.3
1998-06-30,67.41
1998-05-31,83.74
1998-04-30,79.88
1998-03-31,68.12
1998-02-28,73.6
1998-01-31,67.47
1997-12-31,66.27
1997-11-30,59.42
1997-10-31,57.92
1997-09-30,53.71
1997-08-31,62.58
1997-07-31,65.98
1997-06-30,65.3
1997-05-31,61.84
1997-04-30,58.68
1997-03-31,57.64
1997-02-28,65.5
